,UMAP_1,UMAP_2,cluster,dbscan_cluster
1244,1.4252617,1.0669725,14,14
1245,12.374011,20.575495,12,12
1246,-9.524325,-1.5411128,13,13
1247,11.110433,3.8740897,18,18
1248,15.368959,-3.1190426,1,1
1249,11.116202,-4.6121173,15,15
1250,4.875272,-11.702436,24,24
1251,13.245189,12.587899,7,7
1252,13.272403,12.616878,7,7
1253,6.557481,-15.076215,26,26
1254,13.432853,12.601977,7,7
1255,1.2934949,-5.321718,31,31
1256,1.2864543,-5.313649,31,31
1257,1.2954034,-5.3213787,31,31
1258,17.790403,1.7704399,17,17
1259,17.790903,1.7717311,17,17
1260,13.786822,2.8366227,18,18
1261,2.3696837,12.50952,30,30
1262,-3.2658548,22.160545,2,2
1263,-11.710998,7.513694,5,5
1264,-11.712367,7.5144196,5,5
1265,-11.712997,7.5146427,5,5
1266,16.05086,22.370926,29,29
1267,13.473165,12.616215,7,7
1268,2.6460943,12.938611,30,30
1269,13.035519,3.0345016,18,18
1270,12.928983,16.391296,12,12
1271,0.28293666,23.192715,2,2
1272,1.2935588,7.0297914,20,20
1273,-4.1440706,-4.4260015,11,11
1274,4.8040032,-10.344536,24,24
1275,8.336814,-9.910828,9,9
1276,-5.037582,-4.630003,11,11
1277,-1.503209,10.815477,19,19
1278,-2.157251,14.525086,0,0
1279,-3.4563198,5.5280643,13,13
1280,1.8237097,-1.1918167,14,14
1281,2.0695467,-8.389078,3,3
1282,2.0851095,-8.373038,3,3
1283,0.7440177,-5.124384,31,31
1284,1.1405896,-5.2460165,31,31
1285,-2.1902986,-4.6954613,11,11
1286,4.688072,-9.710694,24,24
1287,4.4708285,-8.959039,24,24
1288,12.919861,-1.3561834,1,1
1289,3.0796783,-4.6235576,32,32
1290,1.4931899,-9.036549,3,3
1291,4.9956746,-11.221971,24,24
1292,15.046496,2.5016925,18,18
1293,15.05074,2.5005565,18,18
1294,15.068999,2.496306,18,18
1295,-7.043799,10.325552,19,19
1296,20.480673,-4.166746,25,25
1297,20.514688,-4.132373,25,25
1298,20.47449,-4.1718893,25,25
1299,20.47724,-4.169543,25,25
1300,-2.6093287,-10.349362,4,4
1301,6.4989896,-14.981016,26,26
1302,21.250925,-1.2379553,17,17
1303,8.5589485,-3.125008,15,15
1304,9.563936,16.715792,16,16
1305,-0.7960709,11.079347,19,19
1306,-1.9881357,-4.744458,11,11
1307,0.07686691,-1.2187921,14,14
1308,9.2179785,16.915909,16,16
1309,9.218274,16.91597,16,16
1310,-6.1809144,-5.6834855,11,11
1311,-6.1856,-5.6883664,11,11
1312,-7.034578,1.0200266,13,13
1313,15.254629,7.5959983,6,6
1314,14.239791,2.7158792,18,18
1315,1.3839244,22.765236,2,2
1316,8.158609,10.625505,23,23
1317,13.689567,9.081599,6,6
1318,-2.9234428,-10.069969,4,4
1319,13.528492,17.05994,12,12
1320,13.527856,17.060303,12,12
1321,-3.9068716,5.171726,13,13
1322,11.405765,-9.30706,9,9
1323,12.602972,6.1362457,6,6
1324,8.222018,10.717039,23,23
1325,-1.3789036,23.28052,2,2
1326,3.9094636,-8.1957245,24,24
1327,3.9094858,-8.194753,24,24
1328,-0.04470127,-0.49662566,14,14
1329,21.164711,-1.0595063,17,17
1330,1.6171958,7.230376,20,20
1331,20.759045,9.814422,21,21
1332,-1.9095455,10.719961,19,19
1333,8.405262,-2.877088,15,15
1334,2.4754348,12.650751,30,30
1335,18.197613,21.243336,29,29
1336,7.5558386,9.576027,23,23
1337,-7.193881,10.255363,19,19
1338,12.341177,20.613907,12,12
1339,-2.3186119,10.578239,19,19
1340,-2.3080065,10.5919485,19,19
1341,8.578229,-3.1510227,15,15
1342,-2.037892,0.99144334,8,8
1343,0.4792735,0.35384008,14,14
1344,0.35970172,2.6130002,8,8
1345,0.3587705,2.6140957,8,8
1346,0.357449,2.6148179,8,8
1347,13.561929,12.632937,7,7
1348,10.336765,-0.13288198,1,1
1349,10.387251,7.790119,18,18
