artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,tag,hdbscan_cluster,dbscan_cluster
dennis brown,going to a ball,14uaxEtvwwTR2WnnvAfaj9,0.754,0.458,9,-10.558,0,0.163,0.157,5.86e-06,0.106,0.744,84.603,audio_features,spotify:track:14uaxEtvwwTR2WnnvAfaj9,https://api.spotify.com/v1/tracks/14uaxEtvwwTR2WnnvAfaj9,https://api.spotify.com/v1/audio-analysis/14uaxEtvwwTR2WnnvAfaj9,262000,4,not_hot,174,6
new found glory,hit or miss,2JGfAzStXQ1VEo6H4l6rSR,0.418,0.986,4,-5.475,1,0.111,0.000157,0.000155,0.236,0.602,175.347,audio_features,spotify:track:2JGfAzStXQ1VEo6H4l6rSR,https://api.spotify.com/v1/tracks/2JGfAzStXQ1VEo6H4l6rSR,https://api.spotify.com/v1/audio-analysis/2JGfAzStXQ1VEo6H4l6rSR,202893,4,not_hot,191,24
poco,under the gun,4loIMejzvt11s97SGVEat8,0.779,0.88,4,-2.212,0,0.065,0.426,0.0,0.0691,0.732,140.282,audio_features,spotify:track:4loIMejzvt11s97SGVEat8,https://api.spotify.com/v1/tracks/4loIMejzvt11s97SGVEat8,https://api.spotify.com/v1/audio-analysis/4loIMejzvt11s97SGVEat8,156040,3,not_hot,229,19
meshuggah,born in dissonance,6GYyGwbJeHyFj9po98ZGpS,0.264,0.986,11,-5.059,1,0.102,4.09e-06,0.00625,0.0535,0.227,106.161,audio_features,spotify:track:6GYyGwbJeHyFj9po98ZGpS,https://api.spotify.com/v1/tracks/6GYyGwbJeHyFj9po98ZGpS,https://api.spotify.com/v1/audio-analysis/6GYyGwbJeHyFj9po98ZGpS,274587,4,not_hot,176,23
jj grey & mofro,everything good is bad,5Ic5UOUCDeiHIsPwx3b1rR,0.771,0.663,10,-4.633,1,0.0476,0.0424,0.000112,0.372,0.501,112.404,audio_features,spotify:track:5Ic5UOUCDeiHIsPwx3b1rR,https://api.spotify.com/v1/tracks/5Ic5UOUCDeiHIsPwx3b1rR,https://api.spotify.com/v1/audio-analysis/5Ic5UOUCDeiHIsPwx3b1rR,220773,4,not_hot,237,15
ricky van shelton,after the lights go out,3pvgMJgxH78aEOf5lOPoVf,0.632,0.314,10,-12.205,1,0.0261,0.495,0.0,0.213,0.438,87.755,audio_features,spotify:track:3pvgMJgxH78aEOf5lOPoVf,https://api.spotify.com/v1/tracks/3pvgMJgxH78aEOf5lOPoVf,https://api.spotify.com/v1/audio-analysis/3pvgMJgxH78aEOf5lOPoVf,198867,4,not_hot,256,4
george shearing,guilty,5bqw1jBy6gacBpxsn8xFuF,0.331,0.0966,8,-24.707,1,0.0475,0.994,0.958,0.133,0.195,75.441,audio_features,spotify:track:5bqw1jBy6gacBpxsn8xFuF,https://api.spotify.com/v1/tracks/5bqw1jBy6gacBpxsn8xFuF,https://api.spotify.com/v1/audio-analysis/5bqw1jBy6gacBpxsn8xFuF,195267,3,not_hot,81,32
john michael montgomery,heaven sent me you,0lQDBOQ9M62eRrvrF9vOOA,0.642,0.303,2,-12.637,1,0.0256,0.0414,0.000307,0.12,0.152,84.448,audio_features,spotify:track:0lQDBOQ9M62eRrvrF9vOOA,https://api.spotify.com/v1/tracks/0lQDBOQ9M62eRrvrF9vOOA,https://api.spotify.com/v1/audio-analysis/0lQDBOQ9M62eRrvrF9vOOA,217013,4,not_hot,-1,22
red hot chili peppers,parallel universe,1Se0r96r0gnqg67kJPmESc,0.343,0.983,0,-2.359,0,0.212,0.00107,0.296,0.0708,0.186,124.536,audio_features,spotify:track:1Se0r96r0gnqg67kJPmESc,https://api.spotify.com/v1/tracks/1Se0r96r0gnqg67kJPmESc,https://api.spotify.com/v1/audio-analysis/1Se0r96r0gnqg67kJPmESc,269360,4,not_hot,84,6
connie smith,i thought of you,7IuuGrVXvbOUCv2D1wgPFA,0.483,0.352,6,-9.957,1,0.0315,0.447,0.0,0.0579,0.751,136.292,audio_features,spotify:track:7IuuGrVXvbOUCv2D1wgPFA,https://api.spotify.com/v1/tracks/7IuuGrVXvbOUCv2D1wgPFA,https://api.spotify.com/v1/audio-analysis/7IuuGrVXvbOUCv2D1wgPFA,138733,4,not_hot,17,0
foreigner,i don't want to live without you,19aYH2zhbnTNx4plfenrIk,0.431,0.522,11,-8.625,1,0.0295,0.436,1.91e-05,0.109,0.233,199.786,audio_features,spotify:track:19aYH2zhbnTNx4plfenrIk,https://api.spotify.com/v1/tracks/19aYH2zhbnTNx4plfenrIk,https://api.spotify.com/v1/audio-analysis/19aYH2zhbnTNx4plfenrIk,237693,4,not_hot,271,17
kenny g,joy to the world,5IEHU9V0wlPukKQO2jYlij,0.315,0.333,5,-11.67,1,0.0357,0.628,0.755,0.121,0.0948,91.282,audio_features,spotify:track:5IEHU9V0wlPukKQO2jYlij,https://api.spotify.com/v1/tracks/5IEHU9V0wlPukKQO2jYlij,https://api.spotify.com/v1/audio-analysis/5IEHU9V0wlPukKQO2jYlij,147880,4,not_hot,40,30
ry cooder,crow black chicken,06DLgXAe1lVrYfACpnN3g2,0.682,0.577,4,-10.163,1,0.0633,0.503,0.000353,0.0731,0.782,83.755,audio_features,spotify:track:06DLgXAe1lVrYfACpnN3g2,https://api.spotify.com/v1/tracks/06DLgXAe1lVrYfACpnN3g2,https://api.spotify.com/v1/audio-analysis/06DLgXAe1lVrYfACpnN3g2,140333,4,not_hot,213,0
eddie money,endless nights,1B1w0fZM7BKsgqa12dK9Gv,0.633,0.61,6,-9.935,1,0.0316,0.238,0.000174,0.0696,0.688,111.55,audio_features,spotify:track:1B1w0fZM7BKsgqa12dK9Gv,https://api.spotify.com/v1/tracks/1B1w0fZM7BKsgqa12dK9Gv,https://api.spotify.com/v1/audio-analysis/1B1w0fZM7BKsgqa12dK9Gv,203760,4,not_hot,192,24
kalimba,no puedo dejarte de amar (with jesús navarro),7mUFcQWYwoRxRa5ZfI2mHG,0.58,0.49,9,-6.272,1,0.0245,0.546,0.0,0.0827,0.165,75.929,audio_features,spotify:track:7mUFcQWYwoRxRa5ZfI2mHG,https://api.spotify.com/v1/tracks/7mUFcQWYwoRxRa5ZfI2mHG,https://api.spotify.com/v1/audio-analysis/7mUFcQWYwoRxRa5ZfI2mHG,221293,4,not_hot,295,15
demarco,she cant wait,4TShjmCPC6XOVP6gvpoSq8,0.629,0.756,1,-5.292,1,0.462,0.0251,0.0,0.241,0.898,111.038,audio_features,spotify:track:4TShjmCPC6XOVP6gvpoSq8,https://api.spotify.com/v1/tracks/4TShjmCPC6XOVP6gvpoSq8,https://api.spotify.com/v1/audio-analysis/4TShjmCPC6XOVP6gvpoSq8,155013,4,not_hot,146,19
thievery corporation,firelight (feat. lou lou ghelichkhani),7z28kKpNFEwTThjQTn6BwK,0.772,0.662,9,-7.009,0,0.0306,0.205,0.556,0.0776,0.696,118.403,audio_features,spotify:track:7z28kKpNFEwTThjQTn6BwK,https://api.spotify.com/v1/tracks/7z28kKpNFEwTThjQTn6BwK,https://api.spotify.com/v1/audio-analysis/7z28kKpNFEwTThjQTn6BwK,213133,4,not_hot,234,9
the damned,alone again or,34dAKRy0pfwYylW7ivoOgy,0.318,0.628,2,-10.869,1,0.0311,0.302,0.00435,0.143,0.262,177.036,audio_features,spotify:track:34dAKRy0pfwYylW7ivoOgy,https://api.spotify.com/v1/tracks/34dAKRy0pfwYylW7ivoOgy,https://api.spotify.com/v1/audio-analysis/34dAKRy0pfwYylW7ivoOgy,218440,4,not_hot,258,15
groove armada,chicago,0KIPa0YuQ5QFmlAqRyXNd9,0.697,0.514,8,-8.627,1,0.0286,0.0302,0.532,0.212,0.44,136.071,audio_features,spotify:track:0KIPa0YuQ5QFmlAqRyXNd9,https://api.spotify.com/v1/tracks/0KIPa0YuQ5QFmlAqRyXNd9,https://api.spotify.com/v1/audio-analysis/0KIPa0YuQ5QFmlAqRyXNd9,393640,4,not_hot,63,29
